id,geometry_type,wkt,area_m2,area_km2,centroid_lon,centroid_lat,bbox_minx,bbox_miny,bbox_maxx,bbox_maxy,parts,holes,vertices,label,area_const,cbml,cobama,fecha_sinc,id_constru,numero_edi,numero_mej,numero_mez,numero_pis,numero_sem,numero_sot,Shape_Area,Shape_Leng,tipo_const
21,MultiPolygon,"MULTIPOLYGON (((-75.54959633490913 6.29731180778673, -75.54955033065342 6.297295603234025, -75.54954504290696 6.297310037781724, -75.54953384277786 6.297306088239884, -75.54954113148119 6.297286190357851, -75.54954742576109 6.297288405392188, -75.54959823263025 6.29730629794346, -75.54960505369263 6.297308697552022, -75.54960289982435 6.297314118236704, -75.54959633490913 6.29731180778673)))",7,0.000007,-75.54956892162632,6.29730302739162,-75.54960505369263,6.297286190357851,-75.54953384277786,6.297314118236704,1,0,10,,7.06,01030100085,0103010,2026-06-20,01030100085_0000,0,0,0,1,0,0,7.06155311793,19.6715433286,N
22,MultiPolygon,"MULTIPOLYGON (((-75.54118527150712 6.302488774214758, -75.54120256065609 6.302481690314334, -75.54122546240241 6.302537965275692, -75.54120695689761 6.302570075437962, -75.54117981588047 6.302581053449861, -75.5411807911408 6.302555503980632, -75.54117425344862 6.302540058397891, -75.54120153946444 6.302528054419814, -75.54118527150712 6.302488774214758)))",31,0.000031,-75.54119458142468,6.30253539693637,-75.54122546240241,6.302481690314334,-75.54117425344862,6.302581053449861,1,0,9,,31.02,01030810003,0103081,2026-06-20,01030810003_0000,0,0,0,1,0,0,31.0215048933,28.8129792317,N
23,MultiPolygon,"MULTIPOLYGON (((-75.54112723289035 6.302560389593133, -75.54110882301505 6.30252009727723, -75.54118527150712 6.302488774214758, -75.54120153946444 6.302528054419814, -75.54117425344862 6.302540058397891, -75.5411807911408 6.302555503980632, -75.54117421560605 6.302558451789717, -75.54116794786549 6.302543702863518, -75.54112723289035 6.302560389593133)))",46,0.000046,-75.54116500936723,6.302536879067087,-75.54120153946444,6.302488774214758,-75.54110882301505,6.302560389593133,1,0,9,,45.24,01030810002,0103081,2026-06-20,01030810002_0000,0,0,0,1,0,0,45.2382780751,31.3391963671,N
24,MultiPolygon,"MULTIPOLYGON (((-75.54616456829562 6.300163742406635, -75.54614826805006 6.300191244444559, -75.54611367600056 6.300172682974664, -75.54613096324552 6.300147277261235, -75.54613503092492 6.300141296627197, -75.54616456829562 6.300163742406635)))",16,0.000016,-75.54613850130333,6.300163248742858,-75.54616456829562,6.300141296627197,-75.54611367600056,6.300191244444559,1,0,6,,16.28,01030480029,0103048,2026-06-20,01030480029_0000,0,0,0,1,0,0,16.282335744,16.1852824703,N
25,MultiPolygon,"MULTIPOLYGON (((-75.54620746683369 6.300196352906124, -75.5461954836764 6.300216581124735, -75.54618944545241 6.300213333222849, -75.54620199416735 6.300192161068144, -75.54620647264082 6.300195560338834, -75.54620746683369 6.300196352906124)))",2,0.000002,-75.54620017255414,6.300202797732137,-75.54620746683369,6.300192161068144,-75.54618944545241,6.300216581124735,1,0,6,,2.02,01030480029,0103048,2026-06-20,01030480029_0000,0,0,0,1,0,0,2.01797322531,6.84505366268,N
26,MultiPolygon,"MULTIPOLYGON (((-75.54762408819583 6.301905084864413, -75.5476101643105 6.301857954996533, -75.54759890200273 6.301861282893876, -75.54759300818593 6.301841345434412, -75.54760427047577 6.301838013921067, -75.54759299910162 6.301799868744905, -75.54760048208614 6.301797728324799, -75.54760863367565 6.301795392967016, -75.54764234703454 6.301899919989299, -75.54762408819583 6.301905084864413)))",27,0.000027,-75.5476083216743,6.301844065792924,-75.54764234703454,6.301795392967016,-75.54759299910162,6.301905084864413,1,0,10,,26.66,01030540032,0103054,2026-06-20,01030540032_0000,0,0,0,1,0,0,26.6552270919,30.7830106091,N
27,MultiPolygon,"MULTIPOLYGON (((-75.54764527971771 6.300166578544962, -75.54764759893214 6.300158743991229, -75.5476515581937 6.300145363780134, -75.54767337304392 6.300151405118045, -75.54770437885469 6.300067771268642, -75.5477301662351 6.300078706104893, -75.54770185089242 6.300161146048271, -75.54770009223056 6.300160716149462, -75.54769376938528 6.300179133829277, -75.54765265775906 6.300168489941898, -75.54764527971771 6.300166578544962)))",45,0.000045,-75.54768007252446,6.300143805477681,-75.5477301662351,6.300067771268642,-75.54764527971771,6.300179133829277,1,0,11,,44.46,01030510019,0103051,2026-06-20,01030510019_0000,0,0,0,1,0,0,44.4623064737,35.4579625404,N
28,MultiPolygon,"MULTIPOLYGON (((-75.5475860893979 6.300159304877821, -75.54758697167308 6.300150309239974, -75.54759450173377 6.300153376245951, -75.54759361948518 6.300162377308212, -75.5475860893979 6.300159304877821)))",1,0.000001,-75.54759029557249,6.300156341917989,-75.54759450173377,6.300150309239974,-75.5475860893979,6.300162377308212,1,0,5,,0.86,01030510022,0103051,2026-06-20,01030510022_0000,0,0,0,1,0,0,0.86259415933,3.79989540884,N
29,MultiPolygon,"MULTIPOLYGON (((-75.54753317911477 6.300242238375933, -75.54753414992598 6.300234165396846, -75.5475858083548 6.300241883615381, -75.54758501658189 6.300249982842733, -75.54753317911477 6.300242238375933)))",5,0.000005,-75.54755953849435,6.300242067557723,-75.5475858083548,6.300234165396846,-75.54753317911477,6.300249982842733,1,0,5,,5.21,01030510022,0103051,2026-06-20,01030510022_0000,0,0,0,1,0,0,5.20559881804,13.3805615713,N
30,MultiPolygon,"MULTIPOLYGON (((-75.54753414992598 6.300234165396846, -75.54754621858096 6.300133701015914, -75.54757949773469 6.300147262754093, -75.54758697167308 6.300150309239974, -75.5475860893979 6.300159304877821, -75.54759361948518 6.300162377308212, -75.5475858083548 6.300241883615381, -75.54753414992598 6.300234165396846)))",59,0.000059,-75.54757319359324,6.300175572029749,-75.54759361948518,6.300133701015914,-75.54753414992598,6.300241883615381,1,0,8,,117.36,01030510022,0103051,2026-06-20,01030510022_0000,0,0,0,2,0,0,58.6758334886,32.5788157105,N
31,MultiPolygon,"MULTIPOLYGON (((-75.55014583215373 6.296000718587874, -75.5501489320991 6.295994381040864, -75.55017176614433 6.296001938053747, -75.5501735173901 6.296002518066476, -75.55015969047406 6.296023715448495, -75.55015793832463 6.296023135440104, -75.55016781636954 6.296007994057318, -75.55014583215373 6.296000718587874)))",3,0.000003,-75.55016078470793,6.29600777152784,-75.5501735173901,6.295994381040864,-75.55014583215373,6.296023715448495,1,0,8,,5.14,01030070004,0103007,2026-06-20,01030070004_0000,0,0,0,2,0,0,2.57250107638,11.2130885983,N
